Class,Rank_group,Title Length,Country_Count,Author_Count,Institution_Count,Journal_encodeder,Publisher_encodeder,CIT_Avg.
1,0,9,1,5,2,128,215,0
1,0,11,1,2,2,128,215,0
1,0,14,1,4,3,128,215,0
1,0,11,1,6,2,5283,465,2.666666667
1,0,16,1,7,2,5283,221,5
1,0,10,1,4,2,5283,465,0.333333333
1,0,12,1,2,2,196,215,0
1,0,8,1,2,2,196,215,0
1,0,8,1,1,2,196,215,0
1,3,14,4,4,1,1373,547,0.333333333
1,3,8,1,1,2,1373,547,0
1,0,10,1,2,2,140,215,0
1,0,14,1,2,3,140,215,0
1,0,1,1,4,1,406,259,0.2
1,0,3,1,4,3,406,259,0.5
1,0,16,1,4,1,169,215,0
1,0,9,1,4,1,169,215,0
1,0,8,1,2,2,3946,211,0
1,0,12,1,2,2,3946,211,0
1,0,11,1,1,1,173,215,0
1,0,27,1,3,3,173,215,0
1,7,14,1,6,5,3981,463,4.2
1,7,17,1,5,2,3981,463,1.4
1,7,14,1,3,5,999,397,14
1,7,17,1,3,1,999,397,2
1,0,12,1,2,2,4272,215,0
1,0,8,1,2,2,4272,215,0
1,0,15,1,3,1,2534,421,2.5
1,0,11,1,2,2,2534,421,0
1,7,17,1,3,2,4019,467,36
1,7,12,2,3,2,4019,467,2.75
1,8,16,1,4,2,1131,474,5
1,8,11,1,4,1,1131,474,2
1,4,15,1,2,2,2955,176,2.2
1,4,13,1,3,1,2955,176,1.666666667
1,4,17,1,1,2,1371,465,3
1,4,13,1,1,1,1371,465,0
1,0,11,1,2,2,4282,364,26.33333333
1,0,12,1,5,2,4282,364,2
1,8,13,1,3,1,1202,133,9.25
1,8,13,1,8,2,1202,133,9
1,0,22,1,5,2,3868,549,4
1,0,15,1,5,3,3868,550,1
1,3,9,1,4,2,2929,547,10
1,3,17,1,8,6,2929,547,10.33333333
1,0,20,1,2,3,490,211,0
1,0,13,1,1,2,490,211,0
1,0,13,1,3,2,984,176,5
1,6,13,1,8,3,4215,463,2.285714286
1,0,18,1,2,2,112,215,0
1,0,18,1,5,1,1651,211,0
1,1,14,1,5,4,4753,30,159
1,1,3,1,10,4,4056,372,92.33333333
1,5,19,1,6,5,1180,473,2.666666667
1,0,9,1,2,3,204,215,0
1,0,8,1,2,1,202,215,0
1,8,18,1,3,2,4595,417,0
1,0,11,1,3,2,141,215,0
1,0,17,1,4,3,768,473,20
1,0,9,1,5,1,189,215,0
1,4,18,1,8,5,3734,176,0.666666667
1,0,19,1,6,1,1486,211,0
1,0,13,1,2,3,2304,220,0
1,4,13,3,5,3,4091,465,10
1,0,14,1,3,3,110,215,0
1,0,23,1,2,2,5356,465,0.75
1,7,16,1,1,2,4863,465,1.333333333
1,9,15,1,5,3,4214,463,1.666666667
1,0,13,1,4,2,161,215,0
1,0,9,1,2,2,114,215,0
1,5,16,1,1,2,510,176,1
1,0,13,1,3,3,3862,255,0
1,0,9,1,3,2,95,215,0
1,2,14,1,6,3,3996,177,4.5
1,0,8,1,4,3,116,215,0
1,0,15,1,7,1,3099,466,10
1,0,16,1,5,1,593,550,9.4
1,1,15,1,10,8,1135,27,12.4
1,6,14,2,4,3,2277,215,0
